"service_id","monday","tuesday","wednesday","thursday","friday","saturday","sunday","start_date","end_date"
375,0,0,0,0,0,0,0,20240415,20241207
376,1,1,1,1,1,0,0,20240415,20241207
377,0,0,0,0,0,1,0,20240415,20241207
378,0,0,0,0,0,1,1,20240415,20241207
379,0,0,0,0,0,0,0,20240415,20241207
380,1,1,1,0,0,0,0,20240415,20241207
381,0,0,0,0,0,0,0,20240415,20241207
382,0,0,0,0,1,0,0,20240415,20241207
383,0,0,0,0,0,1,0,20240415,20241207
384,0,0,0,0,0,1,1,20240415,20241207
385,0,0,0,0,0,1,0,20240415,20241207
386,0,0,0,0,0,0,0,20240415,20241207
387,0,0,0,0,0,0,0,20240415,20241207
388,1,1,1,1,1,0,0,20240415,20241207
389,1,1,1,1,1,1,0,20240415,20241207
390,0,0,0,0,0,0,0,20240415,20241207
391,0,0,0,0,0,0,0,20240415,20241207
392,0,0,0,0,0,0,0,20240415,20241207
393,0,0,0,0,0,0,0,20240415,20241207
394,0,0,0,0,0,0,1,20240415,20241207
395,0,1,0,0,1,0,0,20240415,20241207
396,1,1,1,1,1,0,0,20240415,20241207
397,0,0,0,0,0,0,0,20240415,20241207
398,0,0,0,0,0,1,1,20240415,20241207
399,0,0,0,0,0,1,0,20240415,20241207
400,0,0,0,0,0,0,0,20240415,20241207
401,0,0,0,0,0,0,0,20240415,20241207
402,0,0,0,0,0,0,0,20240415,20241207
403,1,1,1,1,1,0,1,20240415,20241207
404,0,0,0,0,0,0,0,20240415,20241207
405,0,0,0,0,0,0,0,20240415,20241207
406,1,1,1,1,1,1,0,20240415,20241207
407,1,1,1,1,1,0,0,20240415,20241207
408,1,1,1,1,1,0,0,20240415,20241207
409,1,1,1,1,0,0,1,20240415,20241207
410,0,0,0,0,0,0,0,20240415,20241207
411,1,1,1,1,1,1,0,20240415,20241207
412,0,0,0,0,0,0,1,20240415,20241207
413,0,0,0,0,0,0,0,20240415,20241207
414,0,0,0,0,0,0,0,20240415,20241207
415,0,0,0,0,0,0,0,20240415,20241207
416,0,0,0,0,0,0,0,20240415,20241207
417,0,0,0,0,0,0,0,20240415,20241207
418,0,0,0,0,0,0,0,20240415,20241207
419,1,1,1,0,1,0,0,20240415,20241207
420,1,1,1,1,1,0,0,20240415,20241207
421,1,1,1,1,1,0,0,20240415,20241207
422,0,0,0,0,0,0,0,20240415,20241207
423,0,0,0,0,0,0,1,20240415,20241207
424,0,0,0,0,0,0,0,20240415,20241207
425,0,0,0,0,0,1,0,20240415,20241207
426,0,0,0,0,0,0,0,20240415,20241207
427,0,0,0,0,0,0,0,20240415,20241207
428,0,0,0,0,0,0,0,20240415,20241207
429,0,0,0,0,0,0,0,20240415,20241207
430,0,0,0,0,0,0,0,20240415,20241207
431,0,0,0,0,0,0,0,20240415,20241207
432,0,0,0,0,0,0,0,20240415,20241207
433,0,0,0,0,0,0,0,20240415,20241207
434,0,0,0,0,0,0,0,20240415,20241207
435,0,0,0,0,0,0,0,20240415,20241207
436,0,0,0,0,0,0,0,20240415,20241207
437,0,0,0,0,0,0,0,20240415,20241207
438,0,0,0,0,0,0,0,20240415,20241207
439,0,0,0,0,0,0,0,20240415,20241207
440,0,0,0,0,0,0,0,20240415,20241207
441,0,0,0,0,0,0,0,20240415,20241207
442,0,0,0,0,0,0,0,20240415,20241207
443,0,0,0,0,0,0,0,20240415,20241207
444,0,0,0,0,0,0,0,20240415,20241207
445,0,0,0,0,0,0,0,20240415,20241207
446,0,0,0,0,0,0,0,20240415,20241207
447,0,0,0,0,0,0,0,20240415,20241207
448,0,0,0,0,0,0,0,20240415,20241207
449,0,0,0,0,0,0,0,20240415,20241207
450,0,0,0,0,0,0,0,20240415,20241207
451,0,0,0,0,0,0,0,20240415,20241207
452,0,0,0,0,0,0,0,20240415,20241207
453,0,0,0,0,0,0,0,20240415,20241207
454,0,0,0,0,0,0,0,20240415,20241207
455,0,0,0,0,0,0,0,20240415,20241207
456,0,0,0,0,0,0,0,20240415,20241207
457,0,0,0,0,0,0,0,20240415,20241207
458,0,0,0,0,0,0,0,20240415,20241207
459,0,0,0,0,0,0,0,20240415,20241207
460,0,0,0,0,0,0,0,20240415,20241207
461,0,0,0,0,0,0,0,20240415,20241207
462,0,0,0,0,0,0,0,20240415,20241207
463,0,0,0,0,0,0,0,20240415,20241207
464,0,0,0,0,0,0,0,20240415,20241207
465,0,0,0,0,0,0,0,20240415,20241207
466,0,0,0,0,0,0,0,20240415,20241207
467,0,0,0,0,0,0,0,20240415,20241207
468,0,0,0,0,0,0,0,20240415,20241207
469,1,1,1,1,1,0,0,20240415,20241207
470,0,0,0,0,0,0,0,20240415,20241207
471,0,0,0,0,0,0,0,20240415,20241207
472,0,0,0,0,0,0,0,20240415,20241207
473,0,0,0,0,0,0,0,20240415,20241207
474,0,0,0,0,0,0,0,20240415,20241207
475,0,0,0,0,0,0,0,20240415,20241207
476,0,0,0,0,0,0,0,20240415,20241207
477,0,0,0,0,0,0,0,20240415,20241207
478,0,0,0,0,0,0,0,20240415,20241207
479,0,0,0,0,0,0,0,20240415,20241207
